vorhersagezeitpunkt;station_name;ts;value_q;dimension
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 13:00;1.2499;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 13:00;9.315;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 13:00;1.4819;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 14:00;7.7858;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 14:00;12.223;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 14:00;13.945;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 14:00;6.1073;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 14:00;0.5446;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 14:00;0.30501;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 14:00;30.667;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 14:00;5.3709;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 14:00;2.5947;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 14:00;4.295;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 14:00;1.3738;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 14:00;31.818;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 14:00;4.5047;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 14:00;1.2535;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 14:00;9.702;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 14:00;1.4669;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 15:00;7.448;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 15:00;11.947;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 15:00;13.836;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 15:00;6.0106;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 15:00;0.54223;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 15:00;0.30662;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 15:00;30.785;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 15:00;5.3556;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 15:00;2.5646;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 15:00;4.2889;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 15:00;1.373;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 15:00;31.956;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 15:00;4.5464;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 15:00;1.2554;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 15:00;10.136;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 15:00;1.4544;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 16:00;7.1087;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 16:00;11.627;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 16:00;13.533;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 16:00;5.9166;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 16:00;0.53987;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 16:00;0.30785;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 16:00;30.722;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 16:00;5.3381;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 16:00;2.534;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 16:00;4.2615;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 16:00;1.3677;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 16:00;31.908;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 16:00;4.5868;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 16:00;1.2563;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 16:00;10.586;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 16:00;1.4406;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 17:00;7.1395;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 17:00;11.337;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 17:00;13.219;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 17:00;5.8249;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 17:00;0.53626;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 17:00;0.30836;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 17:00;30.488;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 17:00;5.3084;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 17:00;2.5019;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 17:00;4.2125;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 17:00;1.3563;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 17:00;31.685;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 17:00;4.6163;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 17:00;1.2552;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 17:00;11.017;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 17:00;1.424;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 18:00;7.1703;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 18:00;11.145;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 18:00;12.881;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 18:00;5.7344;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 18:00;0.53103;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 18:00;0.30818;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 18:00;30.084;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 18:00;5.2672;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 18:00;2.4687;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 18:00;4.1458;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 18:00;1.3352;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 18:00;31.288;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Alb;09.01.2026 18:00;4.6303;cbm/s
09.01.2026 10:00;Sammelknoten Hauensteiner Murg;09.01.2026 18:00;1.2517;cbm/s
09.01.2026 10:00;Sammelknoten Wehra;09.01.2026 18:00;11.415;cbm/s
09.01.2026 10:00;Sammelknoten Duerren-Warmbach;09.01.2026 18:00;1.4063;cbm/s
09.01.2026 10:00;Ewattingen;09.01.2026 19:00;7.2009;cbm/s
09.01.2026 10:00;Eberfingen;09.01.2026 19:00;11.053;cbm/s
09.01.2026 10:00;Oberlauchringen;09.01.2026 19:00;12.581;cbm/s
09.01.2026 10:00;Illmuehle;09.01.2026 19:00;5.6436;cbm/s
09.01.2026 10:00;Hangkanal-offenesGerinne;09.01.2026 19:00;0.52432;cbm/s
09.01.2026 10:00;Buggenrieder Muehle;09.01.2026 19:00;0.30774;cbm/s
09.01.2026 10:00;Wutachmuendung;09.01.2026 19:00;29.56;cbm/s
09.01.2026 10:00;St-Blasien;09.01.2026 19:00;5.2194;cbm/s
09.01.2026 10:00;Wehra (Pegel);09.01.2026 19:00;2.4347;cbm/s
09.01.2026 10:00;Sammelknoten Biber-Durach;09.01.2026 19:00;4.0677;cbm/s
09.01.2026 10:00;Sammelknoten Volken-Rafzenbach;09.01.2026 19:00;1.3073;cbm/s
09.01.2026 10:00;Sammelknoten Wutach;09.01.2026 19:00;30.758;cbm/s
